2026-05-19 15:41:19 ERROR - method=GET, uri=/h2-console/tree_folder.gif, status=304, durationMs=0
2026-05-19 15:41:19 ERROR - method=GET, uri=/h2-console/tree_user.gif, status=304, durationMs=0
2026-05-19 15:41:19 ERROR - method=GET, uri=/h2-console/tree_users.gif, status=304, durationMs=0
2026-05-19 15:41:19 ERROR - method=GET, uri=/h2-console/tree_info.gif, status=304, durationMs=0
2026-05-19 15:41:19 ERROR - method=GET, uri=/h2-console/tree_view.gif, status=304, durationMs=0
2026-05-19 15:42:01 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_disconnect.gif, status=304, durationMs=1
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_rollback.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_refresh.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_help.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_line.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_commit.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_run.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_history.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_run_selected.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/icon_stop.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree.js, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_plus.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_empty.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_table.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_database.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_column.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_minus.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_index_az.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_type.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_index.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_folder.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_view.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_users.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_info.gif, status=304, durationMs=0
2026-05-19 15:44:00 ERROR - method=GET, uri=/h2-console/tree_user.gif, status=304, durationMs=1
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree.js, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_table.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_minus.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_column.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_database.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_plus.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_empty.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_type.gif, status=304, durationMs=0
2026-05-19 15:44:50 ERROR - method=GET, uri=/h2-console/tree_index_az.gif, status=304, durationMs=0
